3,6,14,0,4,7,8,17,12,20,18,2,21,11,16,1,13,22,38,41,28,35,19,24,34,45,15,42,25,31,9,23,58,32,48,53,69,44,36,27,26,5,54,33,30,10,50,37,67,47,82,43,55,40,62,59,60,57,64,29,46,70,66,87,81,73,68,49,61,51,83,86,79,39,88,77,98,71,72,96,80,74,91,65,52,97,84,78,89,94,95,92,90,76,93,56,85,99,63,75
3,0,5,7,24,21,37,8,13,9,18,22,2,12,19,32,6,26,17,23,1,14,11,27,10,15,31,25,43,52,45,4,39,20,29,30,42,51,16,40,46,34,28,63,35,57,44,50,33,67,65,38,36,47,53,48,49,56,82,41,70,62,60,61,76,58,78,95,71,69,68,79,77,74,94,59,54,64,73,72,75,66,84,86,88,90,96,87,89,80,55,83,85,99,98,92,93,91,97,81
2,9,13,23,1,16,20,73,5,29,18,15,22,8,0,27,33,14,36,4,6,28,40,32,11,10,19,41,43,21,30,25,49,12,46,24,56,35,52,47,26,39,44,3,42,55,17,67,58,59,31,69,53,37,34,70,50,54,38,76,82,51,68,60,7,63,61,66,64,89,48,99,78,62,83,97,77,75,81,45,57,98,65,88,71,92,86,74,80,85,84,90,79,91,72,87,93,94,95,96
6,25,0,9,2,7,1,11,16,31,20,5,13,8,32,3,15,29,18,41,10,12,17,4,33,39,34,23,90,38,22,21,28,27,68,24,43,53,26,14,51,46,54,19,69,35,58,42,36,52,37,71,67,45,66,76,86,55,57,48,50,72,70,62,63,61,44,74,47,30,75,60,64,82,94,95,56,59,40,80,78,85,73,81,49,88,84,96,92,77,83,65,97,79,93,98,99,89,91,87
11,1,9,2,24,22,13,12,17,29,5,21,3,4,7,20,23,32,18,0,6,16,10,8,27,31,34,47,44,25,56,14,94,36,37,15,19,43,28,35,26,39,38,33,60,42,85,45,40,53,51,48,67,50,41,62,72,55,30,76,52,64,54,75,46,59,57,49,65,68,66,73,98,74,71,81,84,61,69,58,83,70,79,63,77,99,80,95,86,93,96,88,89,87,78,91,90,97,82,92
4,6,5,3,21,8,24,46,20,7,0,14,2,1,11,35,31,27,12,15,10,44,13,26,16,30,33,62,32,82,9,29,25,36,45,94,40,53,23,41,17,42,34,18,28,74,37,22,39,47,43,19,52,57,80,49,66,51,48,50,55,56,65,64,86,61,60,58,63,38,54,68,79,59,72,76,67,77,75,71,78,88,85,81,96,99,73,69,87,83,70,90,93,97,89,92,84,91,95,98
19,24,3,1,26,7,0,32,15,38,20,18,12,6,8,29,5,17,25,23,39,11,27,37,16,2,44,9,30,41,28,57,10,82,33,34,13,35,55,75,50,64,53,14,69,86,36,48,80,51,22,52,42,54,45,40,21,43,4,59,46,56,65,49,31,63,61,68,71,74,85,76,72,47,60,66,78,77,90,70,73,84,62,89,83,93,87,96,91,98,79,92,67,88,94,97,81,95,99,58
12,3,29,14,20,52,0,2,10,5,17,36,6,1,8,38,21,65,45,24,16,41,4,39,30,32,26,64,28,44,11,35,82,7,13,9,37,18,19,15,51,53,58,25,54,79,22,33,42,43,23,55,46,47,31,49,57,62,61,94,87,60,50,40,70,27,66,71,59,63,72,68,80,83,86,56,96,34,69,67,73,75,76,81,48,99,98,85,74,89,88,93,95,92,91,77,90,97,78,84
7,13,19,31,42,5,2,1,27,21,9,11,29,3,52,17,18,8,6,0,4,16,10,30,14,23,45,37,20,26,28,53,33,15,25,12,62,22,77,24,32,48,34,46,40,43,54,36,38,56,60,44,74,41,49,67,70,50,69,65,57,35,55,61,88,58,92,75,86,59,66,47,84,81,71,93,80,85,63,39,73,82,89,78,51,96,64,79,83,91,97,72,68,95,90,87,76,94,99,98
2,3,14,6,30,8,11,18,1,23,32,12,0,9,4,54,10,21,17,15,19,24,22,39,27,38,43,13,26,5,25,33,69,29,36,35,58,57,40,20,7,53,94,34,31,75,61,70,44,37,42,28,16,65,67,45,49,79,46,52,77,78,51,91,66,59,41,87,73,47,55,60,62,82,81,50,74,64,48,56,68,84,83,92,63,86,71,89,90,88,97,76,85,98,95,80,72,93,99,96
3,4,19,16,6,12,1,9,2,39,22,18,7,14,17,10,13,5,30,31,46,25,38,11,23,26,50,27,42,49,0,36,29,15,43,8,33,52,48,67,51,21,40,32,44,24,35,20,55,53,28,59,47,56,41,58,66,57,60,63,71,61,85,37,34,45,54,95,81,69,83,74,70,92,64,91,62,65,82,72,84,68,80,79,73,76,75,86,77,89,88,96,90,99,93,94,98,97,78,87
24,1,11,18,12,0,4,6,8,3,10,14,2,13,34,5,37,33,9,27,19,23,38,43,16,25,31,48,54,7,22,17,28,52,26,99,45,49,36,32,42,41,30,68,15,39,46,56,44,62,61,66,67,76,92,64,21,51,60,20,63,50,65,72,35,40,47,55,69,90,58,29,57,71,73,53,59,81,97,77,79,91,70,82,88,84,98,94,86,80,75,83,87,89,85,96,78,95,74,93
38,17,0,2,14,20,36,11,10,43,21,9,3,8,12,15,1,25,22,5,42,28,6,13,23,4,7,18,35,44,27,24,16,29,82,39,46,30,31,32,33,26,19,76,55,45,40,79,58,47,51,41,53,49,59,34,52,37,63,54,60,65,98,67,66,56,61,90,68,64,75,62,57,94,86,77,81,69,73,89,95,70,50,72,83,93,85,88,80,84,99,92,87,71,74,48,96,91,97,78
13,1,5,18,0,16,12,8,4,9,7,2,10,14,31,30,11,6,38,23,79,19,24,29,25,17,15,27,39,22,48,3,33,36,40,73,32,47,44,65,43,50,95,41,34,35,59,55,26,46,49,81,54,37,42,28,57,21,74,45,20,87,52,58,68,60,80,56,69,51,70,78,75,53,61,84,91,93,72,89,66,62,63,88,82,71,67,85,97,86,64,92,90,94,76,77,98,99,96,83
31,0,1,3,2,17,19,44,22,6,21,7,11,8,9,24,26,5,29,14,4,16,18,45,34,12,10,35,28,15,27,13,23,41,47,48,42,51,25,37,59,72,33,32,20,46,38,70,71,62,66,65,39,54,49,30,40,52,57,56,53,55,63,88,60,75,61,80,78,90,73,79,36,82,43,86,87,91,81,64,89,84,67,85,92,99,77,96,97,95,74,68,83,76,94,69,98,93,50,58
10,24,17,25,4,16,13,28,2,11,7,20,43,0,31,19,3,37,5,1,40,14,12,15,18,32,34,48,8,23,76,74,39,49,33,35,6,41,9,29,27,62,26,36,22,46,44,53,21,68,38,51,30,67,57,52,69,47,63,45,50,58,80,66,55,90,73,89,59,71,56,84,98,54,79,72,77,60,78,81,85,64,86,91,65,75,92,82,42,95,61,96,93,97,87,88,94,83,70,99
